Item,Name,Alpha,Cost,Stock,Units,Descr,Storage,Date,Modified
37,Simcoe,12.4,1.25,0.0,oz,"Simcoe: Like Cascades on steroids. Known as a hop with good bittering qualities and excellent aroma  characteristics. Has a unique mahogany/walnut wood aroma, with some resinous/candilike character and some citrus.",0.0,null,true
38,Spalt,4.5,1.25,0.0,oz,"German hop used for bittering, flavour and armoa.  Common in Dusseldorf Altbiers.  Mild, pleasant, slightly spicey.",45.0,null,false
39,"Spalt Select",4.8,1.25,0.0,oz,"German hop used for bittering, flavour and armoa.  Common in Dusseldorf Altbiers.  Mild, pleasant, slightly spicey.",0.0,null,false
40,"Styrian Golding",5.5,1.25,0.0,oz,"Styrian Golding: A nice bittering hop with slightly spicy flavor and aroma characteristics.  Well suited to continental style Lagers and some Ales. Slovinian grown.",37.0,null,false
41,"Super Alpha",13.0,1.25,0.0,oz,"Described as reminiscent of European hops, this variety produces a clean, crisp flavor with a distinctive resin aroma.",0.0,null,false
42,"Super Styrians",9.0,1.25,0.0,oz,"These have a higher alpha content than regular Styrians. Rich full flavor similar to Northern brewers",0.0,null,false
43,Talisman,8.0,1.25,0.0,oz,"Good all purpose hop with a fine, strong aroma. finer aroma than clusters. Good for light bodied beer.",0.0,null,false
44,Target,11.5,1.25,0.0,oz,"Target: Widely used for high alpha acid content comined with an acceptable aroma. Robust bittering. British ales and lagers.",0.0,null,false
45,Tettnanger,4.5,1.25,0.0,oz,"Tettnanger: While it can be used as a bittering hop, Tettnanger is an outstanding aroma hop, giving a rich and fragrant, almost sweet flavor and aroma to fine Lagers.",42.0,null,false
46,Ultra,4.5,1.25,0.0,oz,"Ultra: This is the latest release in the American Mittelfrueh series. Its aroma is often called ""outstanding"". Alpha acid levels tend to be low, but that is typical of the noble European varieties to which it is related. Alas, this one may be disappearing from commercial production for perhaps the very reason that made it great, its low acid level.",0.0,null,false
47,Willamette,5.5,1.0,0.0,oz,"Willamette: A U.S. Fuggle hybrid with good bittering qualities.  A very versatile hop  with a light, fruity flavor and aroma.  Use it in almost any Ale style.",37.0,null,false
48,"Yakima Magmum",14.5,1.25,0.0,oz,"Yakima Magmum: Spicy, citrusy, super-high alpha bittering hop from the Pacific Northwest.",0.0,null,false
49,Santiam,6.0,0.0,0.0,oz,,0.0,null,true
