"Item","Name","Yield","Lov","Cost","Stock","Units","Mash","Descr","Steep","IBU"
108,"Glucose",1.045,0,0.1,,"lb","False","Glucose is a monosaccharide. This simple sugar is derivable from converted starches such as what happens when mashing malted grain. Sugar processors can make this sugar from a variety of sources - corn (maize), wheat, rice, potatoes, in short,  anything with cheap starch can be a input into the process. However if not completely refined down to simple sugars, some of the origin can be discerned.  The ""right handed"" variation of glucose is called dextrose. ","True",
109,"Golden syrup",1.043,1,0.3,,"lb","False","Like molasses, this is a syrup that remains after the crystallizable sugars have been removed. However, since the syrup is removed later in the refinement process, it does not have as heavy a taste or color as molasses. Lyle & Tate's product is derived from cane sugar. The syrup has been inverted using a strong acid (hydrochloric acid, I think) and then counter-acted by the addition of base (NaOH) after a short time. Some of the golden color is from the acid treatment.A salty taste comes from the acid + base combining to form NaCl. ","True",
110,"Honey",1.035,1,0.9,,"lb","False","Honey: highly fermentable, may lend a honey flavour depending upon the type. Not recommended for over 10% of fermentables.Honey is a complex mix of sugars but it is mainly glucose (roughly 30%, by weight) and fructose (40%) in invert form; the bees supply the invertase, which is the enzyme that inverts the fructose. Honey's make-up is not consistent - it varies by source, season, region, and producer.  It is about 75% fermentable sugar; the remainder is water, proteins, some minerals, etc. ","True",
111,"Kamut (Flaked)",1.031,2,0.9,,"lb","True","Kamut is an ""ancient grain"" originating in the near east.  Very nutty, grainy flavour.  Cereal mash is recommended, even in flaked form.","False",
112,"Lactose",1.04,0,1.2,,"lb","False","An unfermentable sugar (at least by ordinary beer yeasts) often used to boost the residual sweetness as in ""milk stouts"".  Not really that sweet - it actually increases the viscosity and ""creaminess"" of a beer.","True",
113,"Lager 2-Row",1.035,2,0.9,,"lb","True","Lager 2-Row","False",
114,"Lager 6-Row",1.031,1.7,0.9,,"lb","True","Lager 6-Row","False",
115,"Light Dry Malt Extract",1.04,2,0.9,,"lb","False","Light Dry Malt Extract","True",
116,"Light Malt Extract Syrup",1.034,2,0.9,,"lb","False","Light Malt Extract Syrup","True",
117,"Malto-Dextrine powder",1.045,0,0.9,,"lb","False","Malto-Dextrine powder - adds body and mouthfeel without contributing to flavour.","True",
118,"Maltose",1.045,0,0.1,,"lb","False","Maltose is sometimes available in clear syrup form as ""brewer's maltose"" or simply ""maltose syrup."" A dissacharide made up of two glucose molecules. Completely fermentable.  Will add alchol without body or colour - preferable to other sugars in that it ferments very clean.","True",
119,"Melanoidin",1.033,35,0.9,,"lb","True","Melanoidin","False",
120,"Mild Ale",1.035,4.2,0.9,,"lb","True","Mild Ale: A british malt particularly suited to Milds and Browns.","False",
121,"Molasses / treacle",1.038,10,0.2,,"lb","False","This is the residue of the sugar after the crystalized portion has been removed. The choice of names for this sugar syrup seem to reflect regional language preferences rather than any major differences. In the US, ""molasses"" is the preferred term while in the UK and ex-colonies, ""treacle"" is used. Regular treacle is an inverted sugar produced from the residue of refinement. The acid treatment darkens it. Molasses is filtered and may have a sulfur compound added to sterilize and stabilize it.""Black treacle"" is roughly the same flavor as ""blackstrap molasses"" however treacle may be produced differently. While there are differences between the differently named syrups, there is also a wide variability within syrups of the same name! Find one company's product you like since that may be the only level of consistency obtainable. Light molasses is roughly 90% sugar. Blackstrap is about 50% sugar and has a wide variety of crud remaining. ","True",
122,"Munich Dark",1.03,18,1.8,,"lb","True","Munich Dark","False",
123,"Munich Light",1.033,8,1.8,,"lb","True","Munich Light","False",
124,"Oats (Flaked)",1.033,2.2,0.9,,"lb","True","Oats (Flaked): Adds body and a creamy mouthfeel, although in higher amounts it may lend oilyness to a beer.  Use 5-15%.  Often used in Oatmeal Stouts and Wit beers.","False",
125,"Pale Ale",1.036,3,0.9,,"lb","True","Pale Ale: Produces a smooth, grainy flavor.  Use in your German Lagers and Alt Beers.","False",
126,"Pils 2-Row",1.035,1.2,0.9,,"lb","True","Pils 2-Row:  A lower protein two row, usually moravian. This is a good base malt for many styles, including European Lagers, Belgian Ales and Wheat beers.  Benefits from a short protein rest and decoction mash schedule, although modern moravian malts can mashed with a single step infusion.","False",
127,"Pils 6-Row",1.03,2,0.9,,"lb","True","Pils 6-Row: a higher protein pilsner malt, with more diastatic power than 2-row.  Good for lagers made with non-enzymatic adjuncts such as rice or corn.","False",
128,"Pumpkin Mash",1.012,2,0.9,,"lb","True","Pumpkin Mash: difficult to mash.  May lend a golden colour, but probably no flavour.  Add lots of pumpkin pie spices for a true ""pumkin"" tasting beer.","False",
129,"Raw sugar",1.045,0,0.2,,"lb","False","The only unrefined sugar available to the average consumer seems to be Sucanat, an evaporated sugar cane syrup. Raw beet sugar is reputed to be unsavory. It may be possible in some markets to get other raw sugars (e.g., in Hawaii, pineapple sugar may be sometimes found). ","True",
130,"Rice",1.04,0.5,0.9,,"lb","True","Rice: must be gelatanized before mashing.  Adds no flavour or colour.  Authentic in American lagers and cream ales.  Use up to 30%.","False",
131,"Rice Hulls",1,0,0,,"lb","True","Filter bed material for beers with large amounts of adjuncts. Rule of thumb: use in grists that consist of greater than 60% wheat or 10% rye.  Use 10% or more.","False",
132,"Rice Syrup",1.036,0,0.9,,"lb","False","Rice Syrup: may be added to boost gravity without adding colour or flavour.","True",
133,"Roast Barley",1.029,450,0.9,,"lb","True","Roast Barley: Use 10 to 12% to impart a distinct, roasted flavor to Stouts.  Other dark beers also benefit from smaller quantities (2 - 6%). ","True",
134,"Roasted Rye",1.029,500,0.9,,"lb","True","Roasted Rye","False",
135,"Rolled Oats",1.025,2.2,0.9,,"lb","True","Rolled Oats: pre-gelatanized.  Will add a silky smoothness to mouthfeel, and increased head retention, when used at around 5% of the grist.","False",
136,"Rye (Flaked)",1.036,2.8,0.9,,"lb","True","Rye (Flaked): can add mouthfeel and body when used at 5%.  More will lend a distinctive rye flavour to the beer, authentic in German rauch beer.","False",
137,"Sauer",1.035,1.5,0.9,,"lb","True","Sauer: German malt used to increase acidity in a mash if the mash water is alkaline or the malts are very pale.  Use sparingly.","False",
138,"Scottish Peated",1.038,5,0.9,,"lb","True","Scottish Peated: smoked malt used in Scotch ales.","True",
139,"Torrified Wheat",1.036,2,0,,"lb","True","5-15% of grist, can use much more too.  Pre-gelatinized unmalted wheat, add directly to mash. Needs to be crushed. Adds silky smoothness. Use like wheat flakes for head retention and body. Common in British ales and witbiers.","False",
140,"Victory Malt",1.029,7,0.9,,"lb","True","Victory Malt: A unique, lightly roasted malt that provides a warm ""biscuity"" character to Ales and Lagers.  Use 5 to 15% to add a fuller flavor and aroma to Ales, Porters and Full flavored, dark Lagers where a bigger malt character is desired without crystal malt sweetness. ","False",
141,"Vienna",1.03,4,0.9,,"lb","True","Vienna: Vienna malt is kiln dried at a higher temperature than pale malt yet still retains sufficient enzyme power for use as 60 to 100% of total mash grist. Vienna is a rich, aromatic malt that will lend a deep color and full flavor to your finest Vienna or Marzen beers.","False",
142,"Weizen Dry Malt Extract",1.042,10,0.9,,"lb","False","Weizen Dry Malt Extract: a wheat version of the standard dry malt extract.  Amber in colour, perfect for making wheat beers from extracts.","True",
143,"Weizen Malt Extract",1.038,10,0.9,,"lb","False","Weizen Malt Extract:  a wheat version of the standard dry malt extract.  Amber in colour, perfect for making wheat beers from extracts.","True",
